filename,priority
IMG_1705.JPG,must
IMG_1706.JPG,must
IMG_1707.JPG,must
IMG_2636.jpeg,must
IMG_2644.jpeg,must
IMG_4734.HEIC,must
IMG_4763.HEIC,must
IMG_4773.HEIC,must
IMG_4790.HEIC,must
IMG_4793.HEIC,must
IMG_4813.HEIC,must
IMG_4814.HEIC,must
IMG_4817.HEIC,must
IMG_4824.HEIC,must
IMG_4829.HEIC,must
IMG_4835.MOV,must
IMG_8320.HEIC,must
IMG_8337.HEIC,must
IMG_8648.HEIC,must
c12b0d91-ee69-49f5-a579-9c04e8afea4b.jpg,must
IMG_1322.jpeg,nice
IMG_1348.jpeg,nice
IMG_1353.jpeg,nice
IMG_1381.jpeg,nice
IMG_1409.jpeg,nice
IMG_1410.MOV,nice
IMG_1411.jpeg,nice
IMG_1412.jpeg,nice
IMG_1419.jpeg,nice
IMG_1425.jpeg,nice
IMG_1427.jpeg,nice
IMG_1439.jpeg,nice
IMG_1499.jpeg,nice
IMG_1506.jpeg,nice
IMG_1515.jpeg,nice
IMG_1531.JPG,nice
IMG_1544.jpeg,nice
IMG_1548.jpeg,nice
IMG_1549.MOV,nice
IMG_1551.jpeg,nice
IMG_1588.jpeg,nice
IMG_1591.jpeg,nice
IMG_1592.jpeg,nice
IMG_1610.MOV,nice
IMG_1614.jpeg,nice
IMG_1656.jpeg,nice
IMG_1659.jpeg,nice
IMG_1697.JPG,nice
IMG_1700.JPG,nice
IMG_1702.JPG,nice
IMG_1704.JPG,nice
IMG_4754.HEIC,nice
IMG_4781.HEIC,nice
IMG_4782.MOV,nice
IMG_4783.MOV,nice
IMG_4804.HEIC,nice
IMG_4839.MOV,nice
IMG_4840.MOV,nice
IMG_8306.HEIC,nice
IMG_8310.HEIC,nice
IMG_8321.HEIC,nice
IMG_8646.HEIC,nice
IMG_8646.MP4,nice
IMG_8649.HEIC,nice
IMG_8652.HEIC,nice
IMG_8652.MP4,nice
IMG_8654.HEIC,nice
IMG_8655.HEIC,nice
IMG_8656.HEIC,nice
IMG_8656.MP4,nice
